Class,Contrast,Dissimilarity,Energy,Homogeneity
1.0,860362.0,114004.0,46393.51,673523.31
1.0,1399079.0,200997.0,64954.3,1893450.05
1.0,555964.0,83742.0,27913.13,573014.57
1.0,686500.0,100522.0,44428.49,746685.38
1.0,701550.0,108384.0,60898.02,1029656.75
1.0,354740.0,55464.0,49314.14,413395.33
1.0,964751.0,143875.0,64475.21,1007539.11
1.0,645944.0,96182.0,64935.14,650092.44
1.0,1042852.0,143326.0,4179.16,916698.95
1.0,657047.0,98753.0,29857.2,745763.63
1.0,2405548.0,316866.0,44139.33,2863010.72
1.0,1066866.0,160090.0,45340.1,1223733.68
1.0,1412744.0,189342.0,53793.31,1585142.03
1.0,1057801.0,135493.0,42361.64,1178852.37
1.0,1255616.0,169494.0,54597.66,1488986.89
1.0,499967.0,70653.0,24241.79,521450.56
1.0,921137.0,124819.0,33609.21,696664.79
1.0,680578.0,99850.0,59717.1,962654.01
1.0,1335818.0,192720.0,18979.63,1433871.77
1.0,1193726.0,151266.0,30967.1,1160997.16
1.0,670663.0,94415.0,53602.31,865110.99
1.0,1103347.0,164201.0,31502.78,921161.44
1.0,1334368.0,197246.0,42982.89,1563527.85
1.0,840288.0,128902.0,58012.4,729887.49
1.0,1022813.0,136217.0,64040.49,942309.68
1.0,1059430.0,157358.0,61902.6,905495.71
1.0,526289.0,82353.0,38562.91,706236.35
1.0,533759.0,78457.0,64287.29,571439.82
1.0,1009132.0,152544.0,45502.46,1353893.75
1.0,1375544.0,191654.0,63858.48,1364999.48
1.0,611498.0,87232.0,15906.76,691125.43
1.0,1642716.0,245568.0,38627.7,1801571.14
1.0,577137.0,81153.0,14887.78,559898.38
1.0,697727.0,96005.0,38371.2,766747.55
1.0,1608200.0,233700.0,33389.17,2119848.07
1.0,1049111.0,138227.0,18213.65,862763.11
1.0,549111.0,74723.0,4693.88,415957.64
1.0,919425.0,131449.0,41309.2,672644.96
1.0,1560662.0,204226.0,56639.12,1390951.0
1.0,986959.0,139387.0,37353.08,898943.17
1.0,610216.0,86838.0,62906.81,651237.77
1.0,1889450.0,272656.0,57673.96,2075722.9
1.0,1143125.0,173103.0,63372.95,1224510.9
1.0,673935.0,97515.0,53191.9,647494.09
1.0,977044.0,132720.0,40902.84,776243.33
1.0,834421.0,128147.0,25376.34,1272287.79
1.0,819568.0,124274.0,42265.56,713286.06
1.0,470073.0,69623.0,56150.9,511808.62
1.0,1000230.0,126028.0,59672.57,682219.01
1.0,1182004.0,170646.0,24774.23,858761.87
1.0,735598.0,115330.0,41585.15,1172449.11
1.0,695647.0,109997.0,63672.36,729398.24
1.0,635018.0,96558.0,30179.0,669519.58
1.0,1107478.0,149056.0,41492.37,1164538.93
1.0,777764.0,114550.0,42056.26,748546.97
1.0,673649.0,93537.0,52419.98,695279.39
1.0,1159608.0,160592.0,57369.33,1183261.06
1.0,1382727.0,203237.0,60750.97,1378700.59
1.0,1137135.0,158747.0,54351.19,1216083.05
1.0,970577.0,130561.0,50861.37,993469.9
1.0,599613.0,91691.0,42519.53,592303.53
1.0,1568722.0,212320.0,59626.01,1478234.03
1.0,464264.0,70860.0,44363.04,512305.87
1.0,1266475.0,168425.0,29804.1,1225350.4
1.0,755189.0,112557.0,46311.91,1082824.41
1.0,1749650.0,283522.0,63704.98,1272046.24
1.0,672971.0,103081.0,55731.99,1004452.64
1.0,884257.0,133383.0,28043.73,850722.15
1.0,557668.0,81156.0,32263.79,632501.08
1.0,918502.0,129704.0,36574.38,651486.2
1.0,644473.0,98271.0,49043.86,683495.69
1.0,573633.0,80389.0,65073.74,956828.31
1.0,608373.0,91227.0,30967.19,586646.69
1.0,791632.0,105916.0,59918.3,664147.46
1.0,709960.0,99888.0,55547.54,820733.14
1.0,1038676.0,143582.0,41152.12,1359130.72
1.0,632504.0,84694.0,29177.05,494303.01
1.0,1669514.0,230944.0,41687.45,2081167.91
1.0,1013892.0,139820.0,40172.2,1083285.39
1.0,835558.0,114166.0,41935.57,641040.04
1.0,1820730.0,274344.0,60529.32,2160413.7
1.0,788268.0,109462.0,3252.43,871771.94
1.0,669020.0,101710.0,26426.67,798268.93
1.0,984100.0,133092.0,38679.17,1004531.22
1.0,1939498.0,240878.0,46373.18,1750268.22
1.0,1317765.0,164683.0,61996.46,1615833.17
1.0,1271515.0,164501.0,52562.68,1105971.13
1.0,1294361.0,184767.0,49845.28,1542683.81
1.0,652215.0,93337.0,64788.02,503585.17
1.0,389755.0,64553.0,7725.99,541980.78
1.0,949610.0,136246.0,48955.22,1222212.42
1.0,634026.0,90724.0,53763.38,822411.2
1.0,872144.0,116068.0,37694.84,800522.04
1.0,624401.0,91691.0,52187.09,775897.17
1.0,1061542.0,154406.0,26563.41,808701.41
1.0,1342011.0,202521.0,43992.73,1609508.6
1.0,709690.0,119510.0,34776.74,775392.52
1.0,1029211.0,146309.0,14304.96,984516.13
1.0,1184035.0,170619.0,47683.08,1158423.06
1.0,702085.0,95821.0,57861.44,796385.65
1.0,931289.0,123641.0,29291.49,841362.98
1.0,498693.0,70953.0,6116.04,407223.7
1.0,874147.0,126749.0,63717.49,789047.68
1.0,2222332.0,322906.0,46842.73,3520325.57
1.0,748098.0,99538.0,54856.24,756625.29
1.0,400858.0,62790.0,35296.11,593980.88
1.0,1441986.0,217296.0,62699.56,3304765.35
1.0,2081952.0,286986.0,57148.74,2888924.63
1.0,1026941.0,167625.0,51368.71,3269170.8
1.0,693338.0,101426.0,17776.65,716840.89
1.0,774734.0,115616.0,56168.46,840089.24
1.0,394167.0,58343.0,63933.84,483001.51
1.0,961125.0,128373.0,52036.54,891982.72
1.0,996044.0,147272.0,23427.58,1256263.73
1.0,1240894.0,167262.0,45754.28,991762.73
1.0,576504.0,84700.0,51557.04,532341.39
1.0,606430.0,89466.0,35043.0,749109.18
1.0,630743.0,85839.0,36395.52,708898.58
1.0,571915.0,82799.0,41691.21,584865.16
1.0,718890.0,106342.0,60922.15,711784.7
1.0,778734.0,121030.0,42448.63,1046083.83
1.0,1221640.0,184328.0,50506.28,1629885.85
1.0,454663.0,66195.0,34336.86,469449.1
1.0,1615253.0,226069.0,26147.13,1766879.71
1.0,793607.0,104899.0,64304.92,357315.55
1.0,1041102.0,146472.0,21461.58,1125106.72
1.0,895480.0,126590.0,64107.92,634317.59
1.0,958941.0,131579.0,59835.57,990238.45
1.0,901748.0,124378.0,58027.12,677013.92
1.0,596734.0,76868.0,12924.87,649834.31
1.0,592695.0,76549.0,33304.75,582268.79
1.0,560155.0,84235.0,56205.92,703426.98
1.0,1321608.0,163526.0,42683.0,1095540.59
1.0,989161.0,144673.0,58267.18,1368771.36
1.0,446672.0,61454.0,64082.27,431588.77
1.0,776538.0,110396.0,37287.34,833817.88
1.0,1722979.0,251827.0,54954.38,1891932.75
1.0,1230214.0,162336.0,42520.24,1506525.03
1.0,549486.0,86570.0,16996.99,735651.19
1.0,678254.0,94204.0,51610.13,1132694.52
1.0,1036368.0,155162.0,16231.51,1487892.99
1.0,887506.0,112598.0,28112.3,463263.39
1.0,869714.0,114536.0,55700.95,819723.13
1.0,1011496.0,148654.0,59595.76,988934.25
1.0,1109119.0,160391.0,22705.08,959299.59
1.0,886530.0,116676.0,60699.5,887063.01
1.0,1052937.0,145363.0,58582.38,1091102.33
1.0,990810.0,132068.0,25211.31,1139247.15
1.0,858922.0,123976.0,54013.73,1007009.92
1.0,1765753.0,215989.0,64661.76,848105.49
1.0,573450.0,85168.0,37066.69,687474.5
1.0,865744.0,121882.0,54476.91,936916.39
1.0,1139349.0,151115.0,41399.23,1032427.29
1.0,623170.0,96618.0,51669.81,848587.43
1.0,934371.0,135937.0,45349.46,862465.08
1.0,902516.0,138792.0,46721.55,1125190.39
1.0,566121.0,76885.0,59225.04,537194.74
1.0,645108.0,100204.0,37301.64,851824.61
1.0,801747.0,113535.0,48390.09,982865.8
1.0,830643.0,125093.0,46515.7,959265.53
1.0,2099392.0,282986.0,19597.91,2019452.61
1.0,2125198.0,299980.0,17072.68,2278969.49
1.0,2145349.0,316367.0,63377.81,2375699.41
1.0,448134.0,67070.0,65272.97,572495.57
1.0,1050746.0,142722.0,55207.18,934793.47
1.0,2028699.0,258581.0,53490.29,2036739.31
1.0,1199357.0,171053.0,48443.31,1059862.92
1.0,771394.0,117012.0,18529.53,1009764.37
1.0,1328660.0,189070.0,41383.11,1851610.09
1.0,1022988.0,156998.0,49316.97,1413442.65
1.0,1307016.0,186546.0,63269.16,1421785.81
1.0,1177024.0,166468.0,46505.34,1166207.52
1.0,477581.0,67445.0,57401.41,501800.82
1.0,392855.0,57135.0,39726.01,451394.77
1.0,602929.0,88079.0,43401.48,738333.33
1.0,620468.0,91184.0,51508.83,673801.39
1.0,837702.0,109998.0,63937.75,988567.86
1.0,673369.0,96133.0,13703.89,555288.52
1.0,2217054.0,420170.0,63337.51,2077102.0
1.0,1550858.0,198922.0,42509.3,1904433.85
1.0,531238.0,76792.0,40700.24,470871.83
1.0,389476.0,58962.0,27806.26,300575.3
1.0,489940.0,67970.0,21193.45,354866.76
1.0,637051.0,84569.0,27113.56,531890.96
1.0,360392.0,56784.0,36979.93,291367.26
1.0,552531.0,79205.0,53910.09,639390.03
1.0,1339376.0,196370.0,44734.53,1911960.0
1.0,631265.0,87057.0,8958.22,586250.07
1.0,1587613.0,240345.0,53553.88,2448811.06
1.0,896785.0,125491.0,63346.74,980811.37
1.0,1614600.0,231036.0,50627.92,1796153.92
1.0,836339.0,114861.0,28503.85,1205425.78
1.0,628831.0,87415.0,34703.42,519476.4
1.0,552511.0,78011.0,50691.26,513292.94
1.0,1174046.0,158324.0,50374.67,1057490.34
1.0,1018550.0,132714.0,59273.01,613120.85
1.0,899530.0,113568.0,62704.85,608218.97
1.0,1185540.0,161572.0,9868.46,862126.79
1.0,1258942.0,177918.0,60347.24,1074997.61
1.0,637224.0,84450.0,31635.7,502580.26
1.0,394387.0,55789.0,59120.36,403709.23
1.0,832323.0,111463.0,22185.52,791689.05
1.0,1029679.0,141565.0,64743.03,818545.39
1.0,1915906.0,271998.0,45331.46,2928059.85
1.0,363638.0,57862.0,55104.01,555408.01
1.0,813780.0,112664.0,52289.76,638983.48
1.0,941172.0,126650.0,62800.21,995567.79
1.0,318963.0,50483.0,52990.36,314910.3
1.0,490029.0,71459.0,39632.56,635596.84
1.0,715673.0,99971.0,51876.74,785703.05
1.0,613419.0,86439.0,24070.33,686444.2
1.0,736010.0,108446.0,54087.94,923487.03
1.0,534571.0,73585.0,4976.6,466609.86
1.0,1709455.0,248067.0,63838.71,3087899.85
1.0,1531852.0,210030.0,46173.15,1682284.46
1.0,1204991.0,159445.0,42250.77,1344293.3
1.0,700085.0,99165.0,21102.11,690752.87
1.0,1416258.0,179020.0,32477.43,1423851.94
1.0,1283307.0,190033.0,53098.71,1068886.45
1.0,931347.0,144311.0,42888.47,1262601.38
1.0,1191994.0,174260.0,59724.75,1919377.61
1.0,1825646.0,285610.0,48460.19,2260869.78
1.0,1501276.0,207606.0,62079.2,1279913.26
1.0,987749.0,132979.0,59970.57,761948.15
1.0,1417122.0,206012.0,55364.05,1448154.1
1.0,1602492.0,238168.0,26826.43,1764642.22
1.0,689608.0,95510.0,28082.61,842082.98
1.0,698335.0,100733.0,3024.76,661020.03
1.0,1625953.0,225923.0,47320.48,1137503.35
1.0,1214982.0,183954.0,59133.83,1323666.54
1.0,1302000.0,199792.0,23433.04,1419192.5
1.0,924691.0,127029.0,53692.9,907369.32
1.0,720439.0,95201.0,55815.23,805411.61
1.0,1662536.0,244954.0,60754.44,1763938.56
1.0,1470578.0,198198.0,35319.04,1291773.15
1.0,866516.0,119218.0,53354.7,750643.44
1.0,1074884.0,149252.0,32950.64,1078430.93
1.0,757696.0,99548.0,59728.81,663499.41
1.0,815907.0,120653.0,53064.97,828028.67
1.0,687845.0,100345.0,41172.35,615402.23
1.0,1311699.0,166597.0,43976.13,1212474.55
1.0,1311699.0,166597.0,43976.13,1212474.55
1.0,320538.0,45836.0,49081.9,210349.84
1.0,1637808.0,241808.0,18012.88,1801376.07
1.0,1259023.0,194851.0,35752.17,1737508.25
1.0,516370.0,76136.0,52851.55,416982.64
1.0,802229.0,108249.0,34729.83,651059.57
1.0,1230475.0,177683.0,28825.13,1383496.75
1.0,981801.0,140087.0,40227.22,896103.71
1.0,938719.0,132137.0,41164.05,755633.38
1.0,934734.0,130872.0,45693.0,643217.36
1.0,1404024.0,189348.0,62191.98,1292030.54
1.0,1412030.0,200496.0,63972.62,1096004.42
1.0,1449808.0,193860.0,51997.27,1364268.71
1.0,1318535.0,194609.0,17737.04,1360441.27
1.0,1554388.0,215078.0,40437.14,2003481.73
1.0,1771746.0,227284.0,50864.43,1591094.31
1.0,2340303.0,325527.0,65101.63,2367745.44
1.0,1381252.0,191956.0,59837.78,1320574.35
1.0,653286.0,88700.0,55847.89,517884.4
1.0,452529.0,68251.0,59204.69,390345.68
1.0,1030886.0,137522.0,36834.84,1025904.25
1.0,830183.0,112595.0,42981.17,792431.5
1.0,490638.0,76644.0,59011.95,592984.34
1.0,725385.0,103881.0,38780.43,609197.11
1.0,737895.0,103127.0,57780.94,992406.43
1.0,1396349.0,184711.0,2550.45,1971736.63
1.0,1027285.0,146195.0,39036.24,973488.32
1.0,405296.0,61952.0,33085.95,464346.09
1.0,409706.0,54694.0,61761.69,420606.73
1.0,732000.0,101310.0,16431.23,625440.52
1.0,1393618.0,217794.0,32278.78,1555189.57
1.0,1631846.0,244458.0,49688.79,2134393.65
1.0,1460368.0,191034.0,39482.89,1566376.63
1.0,1197994.0,176676.0,32070.16,1029629.54
1.0,1630550.0,222296.0,44032.05,1158466.6
1.0,1553734.0,229130.0,35849.86,2045007.39
1.0,1006309.0,137765.0,43053.28,875043.02
1.0,880270.0,127964.0,23422.16,876638.04
1.0,674056.0,93752.0,42076.19,767683.94
1.0,638646.0,89804.0,60515.62,788053.49
1.0,594286.0,93768.0,59734.31,604325.29
1.0,848942.0,115168.0,54530.98,738094.12
1.0,274235.0,41541.0,59912.35,323391.77
1.0,633392.0,99762.0,32966.3,631727.92
1.0,425471.0,64269.0,57481.27,436462.51
1.0,316283.0,47775.0,47541.37,251212.54
1.0,694048.0,92438.0,62134.32,805798.51
1.0,1385926.0,194116.0,45958.3,1328204.5
1.0,1483670.0,215348.0,51785.7,1318099.98
1.0,875470.0,126986.0,26883.64,730229.08
1.0,1176867.0,172745.0,53885.52,1470229.27
1.0,702050.0,105504.0,36644.65,638504.02
1.0,1076419.0,144401.0,50288.1,693355.94
1.0,758858.0,101208.0,56079.51,492594.71
1.0,746695.0,96441.0,33526.51,518878.94
1.0,1248175.0,173481.0,61092.69,684755.22
1.0,689525.0,94307.0,54628.75,529663.27
1.0,1001108.0,138036.0,60910.86,684331.63
1.0,694093.0,96013.0,42472.71,659243.67
1.0,536518.0,75164.0,18395.76,619514.08
1.0,1302710.0,180856.0,51614.18,928010.72
1.0,2664956.0,350962.0,40515.31,2513248.73
1.0,1487815.0,187197.0,62836.29,1779287.53
1.0,853615.0,126479.0,15368.93,911903.65
1.0,1457934.0,199400.0,57731.16,1428544.89
1.0,1750438.0,251632.0,45901.07,1617488.04
1.0,742670.0,98274.0,37884.57,592967.92
1.0,2425710.0,350566.0,46935.46,2261475.7
1.0,937945.0,128301.0,49846.84,895263.0
1.0,1635953.0,239697.0,22934.06,2059151.23
1.0,1103380.0,142200.0,39890.27,909320.04
1.0,604181.0,86677.0,26749.64,563361.89
1.0,541365.0,76537.0,61004.25,665238.86
1.0,764586.0,108906.0,52288.45,700815.35
1.0,1717618.0,234794.0,37913.47,1858853.54
1.0,612239.0,79183.0,25530.35,589351.13
1.0,1661345.0,211921.0,62216.59,1257991.63
1.0,827527.0,109781.0,54841.75,957196.89
1.0,3364078.0,476312.0,45671.31,3665991.58
1.0,2246198.0,307842.0,62925.1,2022653.77
1.0,1117539.0,154017.0,37212.52,1036959.18
1.0,569967.0,85527.0,33841.75,619185.41
1.0,690429.0,85043.0,57918.0,568924.58
1.0,802974.0,108274.0,51018.98,717451.33
1.0,1713739.0,223911.0,57535.08,2186779.31
1.0,813869.0,110923.0,10323.45,904976.15
1.0,510070.0,71908.0,35164.45,548476.31
1.0,785042.0,111338.0,51506.94,764191.48
1.0,2441347.0,347939.0,56836.81,2254272.27
1.0,536156.0,76078.0,63656.82,450284.0
1.0,491196.0,68142.0,57927.23,397134.59
1.0,1520292.0,186036.0,65277.48,1810873.81
1.0,406869.0,61743.0,57239.75,437855.74
1.0,737928.0,104312.0,63659.67,778783.99
1.0,771824.0,103586.0,41657.13,563212.94
1.0,1247682.0,176894.0,61782.11,1315158.62
1.0,763925.0,104601.0,14185.27,722053.35
1.0,309800.0,48064.0,24723.38,237863.52
1.0,799145.0,112855.0,47282.09,1003960.92
1.0,1353324.0,182482.0,62311.04,1360243.51
1.0,659598.0,91556.0,19507.59,694865.29
1.0,1125341.0,156469.0,62986.96,1146830.73
1.0,721517.0,92927.0,35110.75,670694.22
1.0,1948862.0,279098.0,31617.48,2258422.79
1.0,1894030.0,264684.0,4543.4,2098530.52
1.0,1536040.0,236738.0,12226.98,2175399.02
1.0,1101189.0,172499.0,42667.67,1509543.02
1.0,1158896.0,163380.0,64068.11,1592565.23
1.0,672687.0,90785.0,29545.34,600425.18
1.0,1955215.0,239565.0,62992.82,1194274.41
1.0,586371.0,90113.0,50074.17,765833.45
1.0,2195106.0,293968.0,49195.16,1941326.01
1.0,975670.0,142840.0,22094.05,953206.64
1.0,991248.0,134124.0,22545.68,1037300.91
1.0,1369248.0,183526.0,30862.52,1861874.39
1.0,933352.0,136516.0,52081.05,1032330.13
1.0,586559.0,78643.0,39544.56,486615.0
1.0,812655.0,112545.0,33072.44,756522.71
1.0,1082870.0,140388.0,16121.69,948927.51
1.0,1318155.0,177699.0,53763.65,1191115.05
1.0,994485.0,140729.0,55901.07,895862.41
1.0,2432288.0,375728.0,59106.7,880244.13
1.0,735437.0,105385.0,53299.31,681753.4
1.0,621706.0,85534.0,61187.31,489917.24
1.0,907491.0,119345.0,43430.4,437126.33
1.0,690958.0,103038.0,63272.18,819662.33
1.0,945985.0,129151.0,58926.8,903829.53
1.0,1289230.0,185014.0,53106.83,1141006.76
1.0,2429541.0,383915.0,62452.66,490760.58
1.0,5224904.0,773470.0,35742.36,801483.87
1.0,1260601.0,181411.0,64250.63,1105111.43
1.0,990915.0,147023.0,26199.68,855348.63
1.0,550016.0,81718.0,63153.22,750654.87
1.0,1348626.0,188342.0,43959.27,1982424.31
1.0,1739068.0,257632.0,41341.91,2066347.2
1.0,683370.0,101288.0,49239.64,707952.24
1.0,524849.0,78921.0,41075.83,577208.05
1.0,861518.0,121062.0,38531.57,924002.65
1.0,705238.0,107104.0,50996.05,781143.29
1.0,533352.0,70562.0,37731.6,496031.31
1.0,4396289.0,722171.0,57205.71,1230738.56
1.0,636764.0,84690.0,12827.6,566003.25
1.0,1845931.0,267583.0,8930.53,2120985.12
1.0,702399.0,106685.0,42563.96,893829.48
1.0,1178468.0,168908.0,62301.75,1294908.16
1.0,1878974.0,316754.0,48239.06,705633.6
1.0,686088.0,102088.0,17082.98,678596.28
1.0,695687.0,96039.0,53794.28,521765.98
1.0,2662696.0,492198.0,57907.41,1326091.35
1.0,1475953.0,207633.0,20473.68,1285591.68
1.0,1453409.0,246451.0,27844.21,749887.14
1.0,613472.0,80818.0,18930.88,498274.97
1.0,2144904.0,374898.0,34132.68,1174972.46
1.0,644081.0,85169.0,63378.67,499622.86
1.0,1979879.0,273717.0,8962.89,643330.66
1.0,603033.0,77841.0,44334.52,530525.41
1.0,707888.0,128744.0,64771.12,667506.33
1.0,528032.0,72926.0,53764.34,529950.38
1.0,4016839.0,623183.0,48697.98,1156597.7
1.0,652844.0,97196.0,46893.34,886499.5
1.0,410719.0,62285.0,53818.23,462282.32
1.0,710055.0,94647.0,61783.88,563889.49
1.0,672931.0,110315.0,20429.06,633323.75
1.0,1189778.0,176502.0,62788.99,1821005.15
1.0,719506.0,96930.0,13376.58,685051.44
1.0,490891.0,74743.0,20918.63,641105.25
1.0,1205120.0,172436.0,40960.04,1716841.87
1.0,1258798.0,164248.0,64360.78,1303737.79
1.0,1050177.0,139501.0,62633.06,934699.23
1.0,925215.0,134977.0,62642.63,980700.67
1.0,708103.0,97815.0,60995.01,636967.94
1.0,623965.0,86739.0,34425.5,513588.11
1.0,979308.0,131414.0,34969.55,961521.29
1.0,620830.0,80608.0,30752.73,652428.31
1.0,805777.0,128929.0,53951.26,831347.27
1.0,602180.0,75818.0,3614.52,560790.98
1.0,1584290.0,280644.0,56786.19,2012984.39
1.0,983208.0,155424.0,54933.43,1596603.18
1.0,1572016.0,210256.0,44244.09,1407744.07
1.0,1374879.0,191293.0,61207.6,1780638.86
1.0,1198035.0,183185.0,35307.68,1557467.43
1.0,917185.0,138875.0,52253.88,1285875.07
1.0,900235.0,142221.0,62477.34,1635553.08
1.0,1221295.0,181835.0,36315.3,1573958.76
1.0,1357732.0,185856.0,36057.9,1460827.55
1.0,1247799.0,170185.0,20305.56,1474013.79
1.0,1373201.0,175519.0,52554.97,1181334.36
1.0,1248904.0,177962.0,59740.2,1192869.52
1.0,1149561.0,155339.0,53976.41,1111287.32
1.0,1149561.0,155339.0,53976.41,1111287.32
1.0,1320120.0,176504.0,51855.99,1120933.33
1.0,1447435.0,192883.0,60615.55,1213860.65
1.0,1207709.0,166327.0,39855.68,1463731.77
1.0,437525.0,60535.0,25207.09,359891.07
1.0,2976844.0,437670.0,13116.61,3401037.07
1.0,513039.0,72629.0,37729.91,512622.54
1.0,1182768.0,208492.0,50588.49,1462642.96
1.0,351449.0,57567.0,36642.49,364025.3
1.0,512769.0,79235.0,52818.98,648976.65
1.0,771004.0,114452.0,33533.57,671281.01
1.0,489012.0,85698.0,31372.79,561904.22
1.0,621459.0,87455.0,63609.75,594572.24
1.0,562611.0,78139.0,21859.45,449168.95
1.0,1027702.0,148522.0,41158.46,1520892.44
1.0,4399257.0,831695.0,61038.35,1485597.38
1.0,945496.0,127884.0,24256.91,629693.05
1.0,1323978.0,201346.0,60479.96,1097499.71
1.0,1364628.0,200822.0,53073.64,1467092.87
1.0,565874.0,76048.0,38368.54,575631.31
1.0,622348.0,95274.0,52468.78,695023.3
1.0,1719911.0,248021.0,59041.42,2012508.5
1.0,1525356.0,191260.0,54064.08,916136.25
1.0,1064967.0,138755.0,57738.9,922633.03
1.0,1064967.0,138755.0,57738.9,922633.03
1.0,1490374.0,186016.0,41530.96,1086196.21
1.0,420191.0,58705.0,35399.43,327667.12
1.0,1085819.0,143723.0,59317.82,740358.56
1.0,475906.0,68998.0,44484.55,589474.77
1.0,566811.0,81131.0,8644.42,423656.04
1.0,707070.0,101268.0,11564.41,784113.24
1.0,510963.0,70443.0,60652.14,424952.98
1.0,390339.0,51339.0,41058.56,287631.03
1.0,1157127.0,171733.0,60445.02,958583.98
1.0,627375.0,97117.0,12071.67,715626.65
1.0,762600.0,112870.0,57399.56,791653.28
1.0,765833.0,114539.0,49080.31,1163039.73
1.0,1143042.0,142626.0,61126.21,1052199.24
1.0,1221172.0,186808.0,64100.81,1134790.74
1.0,1369479.0,183855.0,47751.73,1334496.58
1.0,1235767.0,184019.0,45343.71,1075291.21
1.0,2087431.0,272407.0,63924.68,1960066.54
1.0,1176092.0,152144.0,24706.67,1113147.85
1.0,851387.0,148427.0,64824.18,1130054.51
1.0,1327612.0,180390.0,41719.43,1334356.78
1.0,1281460.0,194868.0,23761.51,1580676.43
1.0,931361.0,134497.0,46272.63,935937.2
1.0,1121375.0,173035.0,31715.11,1001767.44
1.0,566689.0,85055.0,63494.56,567241.0
1.0,600254.0,94390.0,27414.91,487409.41
1.0,1588630.0,223850.0,61386.48,1426892.07
1.0,1178190.0,181694.0,57539.33,1384927.54
1.0,1230655.0,161681.0,30737.24,1024312.46
1.0,660120.0,121340.0,21069.25,617021.77
1.0,672439.0,94831.0,64826.16,606783.28
1.0,700965.0,103549.0,35425.38,611985.62
1.0,677783.0,95803.0,23420.4,495397.47
1.0,362750.0,56324.0,40862.65,419242.3
1.0,1240219.0,156975.0,27986.31,1230159.76
1.0,882950.0,132844.0,55786.9,829574.88
1.0,1247278.0,187754.0,28225.14,1374768.44
1.0,885299.0,126235.0,48198.77,820722.1
1.0,1443500.0,202902.0,49165.11,1904914.69
1.0,564969.0,88251.0,44511.47,787979.49
1.0,1397474.0,185984.0,42344.02,1006216.61
1.0,1067910.0,152424.0,60908.24,1062490.03
1.0,1066282.0,169088.0,64976.02,1363535.81
1.0,976374.0,156864.0,24040.49,1078852.74
1.0,388893.0,60513.0,25932.86,503004.12
1.0,486858.0,68584.0,48849.12,522332.58
1.0,721348.0,119668.0,8424.53,775870.24
1.0,320300.0,45880.0,44015.42,271863.47
1.0,1678720.0,231402.0,29614.19,1577967.58
1.0,779553.0,106923.0,57096.6,758378.8
1.0,753506.0,112338.0,35315.27,1116539.5
1.0,517133.0,77623.0,30985.47,801760.7
1.0,941330.0,149458.0,52342.91,1215440.25
1.0,1386362.0,194700.0,25417.33,1315281.71
1.0,2225911.0,276999.0,59106.99,1696098.6
